"species_code","common_name","scientific_name"
"easspi1","Eastern Spinebill","Acanthorhynchus tenuirostris"
"spbduc","Eastern Spot-billed Duck","Anas zonorhyncha"
"eastow","Eastern Towhee","Pipilo erythrophthalmus"
"easwpw1","Eastern Whip-poor-will","Antrostomus vociferus"
"eawpew","Eastern Wood-Pewee","Contopus virens"
"eaywag","Eastern Yellow Wagtail","Motacilla tschutschensis"
"egyvul1","Egyptian Vulture","Neophron percnopterus"
"eleter1","Elegant Tern","Thalasseus elegans"
"elefal1","Eleonora's Falcon","Falco eleonorae"
"elfowl","Elf Owl","Micrathene whitneyi"
"wvspet1","Elliot's Storm-Petrel","Oceanites gracilis"
"empgoo","Emperor Goose","Anser canagicus"
"eulfly1","Euler's Flycatcher","Lathrotriccus euleri"
"grebit1","Eurasian Bittern","Botaurus stellaris"
"eurbla","Eurasian Blackbird","Turdus merula"
"blackc1","Eurasian Blackcap","Sylvia atricapilla"
"eurcoo","Eurasian Coot","Fulica atra"
"eurcrm1","Eurasian Crag-Martin","Ptyonoprogne rupestris"
"eurcur","Eurasian Curlew","Numenius arquata"
"eugori2","Eurasian Golden Oriole","Oriolus oriolus"
"eurgri1","Eurasian Griffon","Gyps fulvus"
"hoopoe","Eurasian Hoopoe","Upupa epops"
"eurkes","Eurasian Kestrel","Falco tinnunculus"
"eurlin1","Eurasian Linnet","Linaria cannabina"
"eurnig1","Eurasian Nightjar","Caprimulgus europaeus"
"euroys1","Eurasian Oystercatcher","Haematopus ostralegus"
"skylar","Eurasian Skylark","Alauda arvensis"
"eurspa1","Eurasian Sparrowhawk","Accipiter nisus"
"eurspo1","Eurasian Spoonbill","Platalea leucorodia"
"eurwig","Eurasian Wigeon","Mareca penelope"
"eurwoo","Eurasian Woodcock","Scolopax rusticola"
"eurwry","Eurasian Wryneck","Jynx torquilla"
"eubeat1","European Bee-eater","Merops apiaster"
"eugplo","European Golden-Plover","Pluvialis apricaria"
"eurgre1","European Greenfinch","Chloris chloris"
"euhbuz1","European Honey-buzzard","Pernis apivorus"
"eupfly1","European Pied Flycatcher","Ficedula hypoleuca"
"eurrob1","European Robin","Erithacus rubecula"
"eurrol1","European Roller","Coracias garrulus"
"eurser1","European Serin","Serinus serinus"
"eursha1","European Shag","Gulosus aristotelis"
"eursta","European Starling","Sturnus vulgaris"
"stonec4","European Stonechat","Saxicola rubicola"
"bripet","European Storm-Petrel","Hydrobates pelagicus"
"eutdov","European Turtle-Dove","Streptopelia turtur"
"y01288","European/Gray-crowned Goldfinch","Carduelis carduelis/caniceps"
"evegro","Evening Grosbeak","Coccothraustes vespertinus"
"faimar2","Fairy Martin","Petrochelidon ariel"
"faipit1","Fairy Pitta","Pitta nympha"
"faipri1","Fairy Prion","Pachyptila turtur"
"falduc","Falcated Duck","Mareca falcata"
"fatcuc1","Fan-tailed Cuckoo","Cacomantis flabelliformis"
"faecur","Far Eastern Curlew","Numenius madagascariensis"
"ferduc","Ferruginous Duck","Aythya nyroca"
"ferfly1","Ferruginous Flycatcher","Muscicapa ferruginea"
"ferhaw","Ferruginous Hawk","Buteo regalis"
"fiespa","Field Sparrow","Spizella pusilla"
"fiediu1","Fire-eyed Diucon","Pyrope pyrope"
"fiscro","Fish Crow","Corvus ossifragus"
"flarob1","Flame Robin","Petroica phoenicea"
"flaowl","Flammulated Owl","Psiloscops flammeolus"
"flfshe","Flesh-footed Shearwater","Ardenna carneipes"
"flushe1","Fluttering Shearwater","Puffinus gavia"
"forwag1","Forest Wagtail","Dendronanthus indicus"
"asidrc2","Fork-tailed Drongo-Cuckoo","Surniculus dicruroides"
"fotfly","Fork-tailed Flycatcher","Tyrannus savana"
"ftspet","Fork-tailed Storm-Petrel","Hydrobates furcatus"
"forter","Forster's Tern","Sterna forsteri"
"foxspa","Fox Sparrow","Passerella iliaca"
"fragul","Franklin's Gull","Leucophaeus pipixcan"
"fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor"
"fusfly1","Fuscous Flycatcher","Cnemotriccus fuscatus"
"gadwal","Gadwall","Mareca strepera"
"gargan","Garganey","Spatula querquedula"
"giahum1","Giant Hummingbird","Patagona gigas"
"glagul","Glaucous Gull","Larus hyperboreus"
"glwgul","Glaucous-winged Gull","Larus glaucescens"
"glbeme1","Glittering-bellied Emerald","Chlorostilbon lucidus"
"gloibi","Glossy Ibis","Plegadis falcinellus"
"goldcr1","Goldcrest","Regulus regulus"
"goleag","Golden Eagle","Aquila chrysaetos"
"gchwar","Golden-cheeked Warbler","Setophaga chrysoparia"
"gockin","Golden-crowned Kinglet","Regulus satrapa"
"gocspa","Golden-crowned Sparrow","Zonotrichia atricapilla"
"gsgdov1","Golden-spotted Ground Dove","Metriopelia aymara"
"gowwar","Golden-winged Warbler","Vermivora chrysoptera"
"grawar","Grace's Warbler","Setophaga graciae"
"graspa","Grasshopper Sparrow","Ammodramus savannarum"
"gryfin1","Grassland Yellow-Finch","Sicalis luteola"
"grycat","Gray Catbird","Dumetella carolinensis"
"gryfan1","Gray Fantail","Rhipidura albiscapa"
"gryfly","Gray Flycatcher","Empidonax wrightii"
"grygul","Gray Gull","Leucophaeus modestus"
"gryhaw2","Gray Hawk","Buteo plagiatus"
"graher1","Gray Heron","Ardea cinerea"
"grykin","Gray Kingbird","Tyrannus dominicensis"
"gryvir","Gray Vireo","Vireo vicinior"
"grywag","Gray Wagtail","Motacilla cinerea"
"gybstp1","Gray-backed Storm-Petrel","Garrodia nereis"
"gybsht1","Gray-bellied Shrike-Tyrant","Agriornis micropterus"
"gybmar","Gray-breasted Martin","Progne chalybea"
"gybsee1","Gray-breasted Seedsnipe","Thinocorus orbignyianus"
"gycthr","Gray-cheeked Thrush","Catharus minimus"
"gcrfin","Gray-crowned Rosy-Finch","Leucosticte tephrocotis"
"gyfbuz1","Gray-faced Buzzard","Butastur indicus"
"grwpet2","Gray-faced Petrel","Pterodroma gouldi"
"gyfcin1","Gray-flanked Cinclodes","Cinclodes oustaleti"
"grhgul","Gray-hooded Gull","Chroicocephalus cirrocephalus"
"gyhsif1","Gray-hooded Sierra Finch","Phrygilus gayi"
"gyttat1","Gray-tailed Tattler","Tringa brevipes"
"gragoo","Graylag Goose","Anser anser"
"gbbgul","Great Black-backed Gull","Larus marinus"
"grbher3","Great Blue Heron","Ardea herodias"
"grebus1","Great Bustard","Otis tarda"
"grecor","Great Cormorant","Phalacrocorax carbo"
"grcfly","Great Crested Flycatcher","Myiarchus crinitus"
"grcgre1","Great Crested Grebe","Podiceps cristatus"
"grcter1","Great Crested Tern","Thalasseus bergii"
"greegr","Great Egret","Ardea alba"
"grgowl","Great Gray Owl","Strix nebulosa"
"grekno","Great Knot","Calidris tenuirostris"
"grrwar1","Great Reed Warbler","Acrocephalus arundinaceus"
"greshe","Great Shearwater","Ardenna gravis"
"gresht1","Great Shrike-Tyrant","Agriornis lividus"
"gresku1","Great Skua","Stercorarius skua"
"grwpel1","Great White Pelican","Pelecanus onocrotalus"
"grtgra","Great-tailed Grackle","Quiscalus mexicanus"
"grefla3","Greater Flamingo","Phoenicopterus roseus"
"grepew","Greater Pewee","Contopus pertinax"
"gresca","Greater Scaup","Aythya marila"
"gwfgoo","Greater White-fronted Goose","Anser albifrons"
"grewhi1","Greater Whitethroat","Curruca communis"
"gryfin2","Greater Yellow-Finch","Sicalis auriventris"
"greyel","Greater Yellowlegs","Tringa melanoleuca"
"grnher","Green Heron","Butorides virescens"
"grnsan","Green Sandpiper","Tringa ochropus"
"grbfir1","Green-backed Firecrown","Sephanoides sephaniodes"
"gnbman","Green-breasted Mango","Anthracothorax prevostii"
"gnttow","Green-tailed Towhee","Pipilo chlorurus"
"gnwtea","Green-winged Teal","Anas crecca"
"greela","Greenish Elaenia","Myiopagis viridicata"
"gryfin3","Greenish Yellow-Finch","Sicalis olivascens"
"grbani","Groove-billed Ani","Crotophaga sulcirostris"
"gubter2","Gull-billed Tern","Gelochelidon nilotica"
"hamfly","Hammond's Flycatcher","Empidonax hammondii"
"harduc","Harlequin Duck","Histrionicus histrionicus"
"harspa","Harris's Sparrow","Zonotrichia querula"
"heegul","Heermann's Gull","Larus heermanni"
"helpip1","Hellmayr's Pipit","Anthus hellmayri"
"norhar1","Hen Harrier","Circus cyaneus"
"henspa","Henslow's Sparrow","Centronyx henslowii"
"heptan","Hepatic Tanager","Piranga flava"
"herthr","Hermit Thrush","Catharus guttatus"
"herwar","Hermit Warbler","Setophaga occidentalis"
"himcuc1","Himalayan Cuckoo","Cuculus saturatus"
"himrub1","Himalayan Rubythroat","Calliope pectoralis"
"hohgre1","Hoary-headed Grebe","Poliocephalus poliocephalus"
"hoogre1","Hooded Grebe","Podiceps gallardoi"
"hoomer","Hooded Merganser","Lophodytes cucullatus"
"hooori","Hooded Oriole","Icterus cucullatus"
"hoowar","Hooded Warbler","Setophaga citrina"
"horgre","Horned Grebe","Podiceps auritus"
"horlar","Horned Lark","Eremophila alpestris"
"horpuf","Horned Puffin","Fratercula corniculata"
"hobcuc1","Horsfield's Bronze-Cuckoo","Chalcites basalis"
"hudgod","Hudsonian Godwit","Limosa haemastica"
"humpen1","Humboldt Penguin","Spheniscus humboldti"
"hutshe1","Hutton's Shearwater","Puffinus huttoni"
"hutvir","Hutton's Vireo","Vireo huttoni"
"ibechi2","Iberian Chiffchaff","Phylloscopus ibericus"
"y00478","Iceland Gull","Larus glaucoides"
"indcuc1","Indian Cuckoo","Cuculus micropterus"
"aspfly1","Indian Paradise-Flycatcher","Terpsiphone paradisi"
"indpit1","Indian Pitta","Pitta brachyura"
"inpher1","Indian Pond-Heron","Ardeola grayii"
"indbun","Indigo Bunting","Passerina cyanea"
"ivogul","Ivory Gull","Pagophila eburnea"
"jamfla1","James's Flamingo","Phoenicoparrus jamesi"
"jabwar","Japanese Bush Warbler","Horornis diphone"
"japcor1","Japanese Cormorant","Phalacrocorax capillatus"
"japspa1","Japanese Sparrowhawk","Tachyspiza gularis"
"grynig2","Jungle Nightjar","Caprimulgus indicus"
"arcwar2","Kamchatka Leaf Warbler","Phylloscopus examinandus"
"kelgoo1","Kelp Goose","Chloephaga hybrida"
"kenplo1","Kentish Plover","Anarhynchus alexandrinus"
"kenwar","Kentucky Warbler","Geothlypis formosa"
"killde","Killdeer","Charadrius vociferus"
"kineid","King Eider","Somateria spectabilis"
"kinpen1","King Penguin","Aptenodytes patagonicus"
"kinrai4","King Rail","Rallus elegans"
"kirwar","Kirtland's Warbler","Setophaga kirtlandii"
"klacuc1","Klaas's Cuckoo","Chrysococcyx klaas"
"lakduc1","Lake Duck","Oxyura vittata"
"laplon","Lapland Longspur","Calcarius lapponicus"
"larhac2","Large Hawk-Cuckoo","Hierococcyx sparverioides"
"larbun","Lark Bunting","Calamospiza melanocorys"
"larspa","Lark Sparrow","Chondestes grammacus"
"latsni1","Latham's Snipe","Gallinago hardwickii"
"laugul","Laughing Gull","Leucophaeus atricilla"
"lawgol","Lawrence's Goldfinch","Spinus lawrencei"
"layalb","Laysan Albatross","Phoebastria immutabilis"
"lazbun","Lazuli Bunting","Passerina amoena"
"lecspa","LeConte's Sparrow","Ammospiza leconteii"
"lcspet","Leach's Storm-Petrel","Hydrobates leucorhous"
"leafly2","Leaden Flycatcher","Myiagra rubecula"
"leabit","Least Bittern","Botaurus exilis"
"leafly","Least Flycatcher","Empidonax minimus"
"leasan","Least Sandpiper","Calidris minutilla"
"leasee1","Least Seedsnipe","Thinocorus rumicivorus"
"lsspet","Least Storm-Petrel","Hydrobates microsoma"
"leater1","Least Tern","Sternula antillarum"
"lbbgul","Lesser Black-backed Gull","Larus fuscus"
"lesfla1","Lesser Flamingo","Phoeniconaias minor"
"lesgol","Lesser Goldfinch","Spinus psaltria"
"legshr2","Lesser Gray Shrike","Lanius minor"
"leskes1","Lesser Kestrel","Falco naumanni"
"lesnig","Lesser Nighthawk","Chordeiles acutipennis"
"lessca","Lesser Scaup","Aythya affinis"
"leseag1","Lesser Spotted Eagle","Clanga pomarina"
"lessts1","Lesser Striped Swallow","Cecropis abyssinica"
"leswhi4","Lesser Whitethroat","Curruca curruca"
"lesyel","Lesser Yellowlegs","Tringa flavipes"
"lewwoo","Lewis's Woodpecker","Melanerpes lewis"
"livbul1","Light-vented Bulbul","Pycnonotus sinensis"
"linspa","Lincoln's Sparrow","Melospiza lincolnii"
"linsee1","Lined Seedeater","Sporophila lineola"
"litbit1","Little Bittern","Botaurus minutus"
"libcor1","Little Black Cormorant","Phalacrocorax sulcirostris"
"libher","Little Blue Heron","Egretta caerulea"
"litbus1","Little Bustard","Tetrax tetrax"
"litbut1","Little Buttonquail","Turnix velox"
"litegr","Little Egret","Egretta garzetta"
"litfri1","Little Friarbird","Philemon citreogularis"
"litgre1","Little Grebe","Tachybaptus ruficollis"
"litgul","Little Gull","Hydrocoloeus minutus"
"litpen1","Little Penguin","Eudyptula minor"
"lirplo","Little Ringed Plover","Thinornis dubius"
"litsti","Little Stint","Calidris minuta"
"litter1","Little Tern","Sternula albifrons"
"logshr","Loggerhead Shrike","Lanius ludovicianus"
"lobcur","Long-billed Curlew","Numenius americanus"
"lobdow","Long-billed Dowitcher","Limnodromus scolopaceus"
"loeowl","Long-eared Owl","Asio otus"
"lotduc","Long-tailed Duck","Clangula hyemalis"
"lotjae","Long-tailed Jaeger","Stercorarius longicaudus"
"lotkoe1","Long-tailed Koel","Urodynamis taitensis"
"lotshr1","Long-tailed Shrike","Lanius schach"
"lotsti","Long-toed Stint","Calidris subminuta"
"lowhar1","Long-winged Harrier","Circus buffoni"
"louwat","Louisiana Waterthrush","Parkesia motacilla"
"luchum","Lucifer Hummingbird","Calothorax lucifer"
"lucwar","Lucy's Warbler","Leiothlypis luciae"
"macwar","MacGillivray's Warbler","Geothlypis tolmiei"
"madpet1","Magellanic Diving-Petrel","Pelecanoides magellani"
"magoys1","Magellanic Oystercatcher","Haematopus leucopodus"
"magpen1","Magellanic Penguin","Spheniscus magellanicus"
"magplo1","Magellanic Plover","Pluvianellus socialis"
"soasni3","Magellanic Snipe","Gallinago magellanica"
"magfri","Magnificent Frigatebird","Fregata magnificens"
"magwar","Magnolia Warbler","Setophaga magnolia"
"maggoo1","Magpie Goose","Anseranas semipalmata"
"magsto1","Maguari Stork","Ciconia maguari"
"mallar3","Mallard","Anas platyrhynchos"
"manduc","Mandarin Duck","Aix galericulata"
"manshe","Manx Shearwater","Puffinus puffinus"
"mcrtyr1","Many-colored Rush Tyrant","Tachuris rubrigastra"
"margod","Marbled Godwit","Limosa fedoa"
"maspet","Markham's Storm-Petrel","Hydrobates markhami"
"marori2","Maroon Oriole","Oriolus traillii"
"marsan","Marsh Sandpiper","Tringa stagnatilis"
"marwre","Marsh Wren","Cistothorus palustris"
"bkfbun2","Masked Bunting","Emberiza personata"
"maslap1","Masked Lapwing","Vanellus miles"
"maswoo1","Masked Woodswallow","Artamus personatus"
"mckbun","McKay's Bunting","Plectrophenax hyperboreus"
"meapip1","Meadow Pipit","Anthus pratensis"
"medgul1","Mediterranean Gull","Ichthyaetus melanocephalus"
"integr1","Medium Egret","Ardea intermedia"
"merlin","Merlin","Falco columbarius"
"souwpw1","Mexican Whip-poor-will","Antrostomus arizonae"
"miskit","Mississippi Kite","Ictinia mississippiensis"
"misthr1","Mistle Thrush","Turdus viscivorus"
"monhar1","Montagu's Harrier","Circus pygargus"
"motpet","Mottled Petrel","Pterodroma inexpectata"
"moublu","Mountain Bluebird","Sialia currucoides"
"mouchi","Mountain Chickadee","Poecile gambeli"
"mouplo","Mountain Plover","Anarhynchus montanus"
"moudov","Mourning Dove","Zenaida macroura"
"mouwar","Mourning Warbler","Geothlypis philadelphia"
"y01204","Mouse-colored Tyrannulet","Nesotriccus murinus"
"mugfly","Mugimaki Flycatcher","Ficedula mugimaki"
"mutswa","Mute Swan","Cygnus olor"
"auskes1","Nankeen Kestrel","Falco cenchroides"
"narfly2","Narcissus Flycatcher","Ficedula narcissina"
"naswar","Nashville Warbler","Leiothlypis ruficapilla"
"nstspa","Nelson's Sparrow","Ammospiza nelsoni"
"nezstp1","New Zealand Storm-Petrel","Fregetta maoriana"
"noifri1","Noisy Friarbird","Philemon corniculatus"
"noipit1","Noisy Pitta","Pitta versicolor"
"norgre1","Nordmann's Greenshank","Tringa guttifer"
"nobtyr","Northern Beardless-Tyrannulet","Camptostoma imberbe"
"norboo1","Northern Boobook","Ninox japonica"
"norfli","Northern Flicker","Colaptes auratus"
"norful","Northern Fulmar","Fulmarus glacialis"
"norgan","Northern Gannet","Morus bassanus"
"norgip1","Northern Giant-Petrel","Macronectes halli"
"norhar2","Northern Harrier","Circus hudsonius"
"nohowl","Northern Hawk Owl","Surnia ulula"
"norlap","Northern Lapwing","Vanellus vanellus"
"normoc","Northern Mockingbird","Mimus polyglottos"
"norpar","Northern Parula","Setophaga americana"
"norpin","Northern Pintail","Anas acuta"
"nrwswa","Northern Rough-winged Swallow","Stelgidopteryx serripennis"
"nswowl","Northern Saw-whet Owl","Aegolius acadicus"
"norsho","Northern Shoveler","Spatula clypeata"
"norshr4","Northern Shrike","Lanius borealis"
"norwat","Northern Waterthrush","Parkesia noveboracensis"
"norwhe","Northern Wheatear","Oenanthe oenanthe"
"y01309","Northern/Southern House Wren","Troglodytes aedon/musculus"
"ocftap1","Ochre-flanked Tapaculo","Eugralla paradoxa"
"ongtyr1","Ochre-naped Ground-Tyrant","Muscisaxicola flavinucha"
"olsfly","Olive-sided Flycatcher","Contopus cooperi"
"orcwar","Orange-crowned Warbler","Leiothlypis celata"
"orcori","Orchard Oriole","Icterus spurius"
"oricuc2","Oriental Cuckoo","Cuculus optatus"
"origre","Oriental Greenfinch","Chloris sinica"
"orihob2","Oriental Honey-buzzard","Pernis ptilorhynchus"
"oripra","Oriental Pratincole","Glareola maldivarum"
"orrwar1","Oriental Reed Warbler","Acrocephalus orientalis"
"orsowl","Oriental Scops-Owl","Otus sunia"
"orisky1","Oriental Skylark","Alauda gulgula"
"oristo1","Oriental Stork","Ciconia boyciana"
"ortdov","Oriental Turtle-Dove","Streptopelia orientalis"
"ortbun1","Ortolan Bunting","Emberiza hortulana"
"osprey","Osprey","Pandion haliaetus"
"ovenbi1","Ovenbird","Seiurus aurocapilla"
"pagplo","Pacific Golden-Plover","Pluvialis fulva"
"asikoe3","Pacific Koel","Eudynamys orientalis"
"pacloo","Pacific Loon","Gavia pacifica"
"fotswi","Pacific Swift","Apus pacificus"
"pacwre1","Pacific Wren","Troglodytes pacificus"
"paibun","Painted Bunting","Passerina ciris"
"paired","Painted Redstart","Myioborus pictus"
"palthr1","Pale Thrush","Turdus pallidus"
"palcuc1","Pallid Cuckoo","Heteroscenes pallidus"
"palswi3","Pallid Swift","Apus pallidus"
"palwar","Palm Warbler","Setophaga palmarum"
"parauk","Parakeet Auklet","Aethia psittacula"
"parjae","Parasitic Jaeger","Stercorarius parasiticus"
"parpet1","Parkinson's Petrel","Procellaria parkinsoni"
"pafear1","Patagonian Forest Earthcreeper","Upucerthia saturatior"
"patmoc1","Patagonian Mockingbird","Mimus patagonicus"
"pattyr2","Patagonian Tyrant","Colorhamphus parvirostris"
"payfin1","Patagonian Yellow-Finch","Sicalis lebruni"
"pecsan","Pectoral Sandpiper","Calidris melanotos"
"pelcor","Pelagic Cormorant","Urile pelagicus"
"perfal","Peregrine Falcon","Falco peregrinus"
"pedpet1","Peruvian Diving-Petrel","Pelecanoides garnotii"
"perter2","Peruvian Tern","Sternula lorata"
"phaino","Phainopepla","Phainopepla nitens"
"phtjac1","Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"phivir","Philadelphia Vireo","Vireo philadelphicus"
"pieavo1","Pied Avocet","Recurvirostra avosetta"
"piehar1","Pied Harrier","Circus melanoleucos"
"piesti1","Pied Stilt","Himantopus leucocephalus"
